question,answer,answer_index,opa,opb,opc,opd,generated_explanation,subject_name,cleaned_question
"In order to reduce non-working side interference, reduce",Either of the jaw’s supporting cusps,opd,Maxillary supporting cusp,Mandibular supporting cusp,Both maxillary and mandibular supporting cusps,Either of the jaw’s supporting cusps,"In order to reduce non-working side interference, reduce Either of the jaw’s supporting cusps. ",Dental,order reduce side interference reduce
What will be treatment plan for a parasymphysial fracture in a 55 year old man.,IMF for 6 weeks,opb,IMF for 3 weeks,IMF for 6 weeks,Compression plate is must,Non union will occur if reconstruction plate is not given,What will be treatment plan for a parasymphysial fracture in a 55 year old man. IMF for 6 weeks. ,Surgery,treatment plan parasymphysial fracture year old man
ADA sp. Number fir dental excavating burs:,23,opd,20,21,22,23,ADA sp. Number fir dental excavating burs: 23. ,Dental,ADA sp Number fir dental excavating burs
False about enamel rods is,Diameter of enamel rods is 30micrometer at DEJ,opc,They are perpendicular to tooth surface,They are parallel to each other,Diameter of enamel rods is 30micrometer at DEJ,Diameter of enamel rod is 5 micrometer at DEJ,False about enamel rods is Diameter of enamel rods is 30micrometer at DEJ. Here is an additional explanation: Option C is false as diameter of enamel rod (avg) is 5 micrometer at DEJ and 8 micrometer at surface.,Dental,False enamel rods
Radiographs are of no help in the diagnosis of,Acute alveolar abscess,opc,Cementoma,Subluxation teeth,Acute alveolar abscess,Impacted canines,Radiographs are of no help in the diagnosis of Acute alveolar abscess. ,Radiology,Radiographs help diagnosis
CPR should have a ratio of chest compression to mouth breathing of:,4:01,opb,1:04,4:01,2:03,3:02,CPR should have a ratio of chest compression to mouth breathing of: 4:01. ,Medicine,CPR ratio chest compression mouth breathing
The use of stress breaker in modern dentistry is avoided because,It affects alveolar ridge,opb,It affects abutment more,It affects alveolar ridge,It affects both abutment and alveolar ridge,None of the above,The use of stress breaker in modern dentistry is avoided because It affects alveolar ridge. ,Dental,use stress breaker modern dentistry avoided
Which of the following does not complicate into CHF –,Tetralogy of fallot's,opc,Co–relation of aorta,Transposition of great vessels,Tetralogy of fallot's,Patent ductus arteriorus,"Which of the following does not complicate into CHF – Tetralogy of fallot's. Here is an additional explanation: The ventricular septal defect of TOF is always large enough to allow free exit to the right to left shunt.
Since the right ventricle is effectively decompressed by VSD, Congestive cardiac failure never occurs in TOE
Exceptions to this rule are : -


Anemia                                                                                                     
Infective endocarditis

iii) Systemic hypertension
iv) Myocarditis complicating TOF
V) Aortic or pulmonic regurgitation.

Remember:
Following do not occur in TOF -->       o Cardiomegaly          o CHF              o Recurrent chest infections",Pediatrics,following complicate CHF
Leeway space is due to ?,Space differential between deciduous canine and molar and their succedaneous permanent teeth,opa,Space differential between deciduous canine and molar and their succedaneous permanent teeth,Space differential between deciduous incisors and their succedaneous permanent teeth,Difference between deciduous and permanent maxillary and mandibular canines only,Difference between deciduous and permanent maxillary and mandibular molars only,"Leeway space is due to ? Space differential between deciduous canine and molar and their succedaneous permanent teeth. Here is an additional explanation: When the primary molars and canine are exfoliated the combined width of primary molars and canine are significantly larger than the premolars and permanent canine that replace them, and the “leeway space” provided by this difference offers an excellent opportunity of natural or orthodontic adjustment of occlusal relationships at the end of the dental transition",Dental,Leeway space due
All are sensory to the palate except:,Hypoglossal nerve,opd,Maxillary division of the trigeminal nerve,Facial nerve,Glossopharyngeal nerve,Hypoglossal nerve,All are sensory to the palate except: Hypoglossal nerve. ,Anatomy,sensory palate except
"According to Weber-Fechner's law, strength of stimulus perceived is directly propoional to:",Intensity of stimulus,opa,Intensity of stimulus,Amplitude of action potential,Number of neurons stimulated,Number of receptors stimulated,"According to Weber-Fechner's law, strength of stimulus perceived is directly propoional to: Intensity of stimulus. Here is an additional explanation: Ans: A. Intensity of stimulus(Ref: Guyton 13/e p615)According to Weber-Fechner's Law, strength of stimulus perceived is directly propoional to intensity of stimulus.""Weber-Fechner Principle--Detection of ""Ratio"" of Stimulus Strength: In the mid 1800s, Weber first and Fechner later proposed the principle that gradations of stimulus strength are discriminated approximately in propoion to the logarithm of stimulus strength.",Physiology,According law strength stimulus perceived directly propoional
"In a functional implant, bone loss seen annually after 1 year is:",Less than 0.1 mm,opb,1.5 to 2 mm,Less than 0.1 mm,1 to 2 mm,1 to 1.5 mm,"In a functional implant, bone loss seen annually after 1 year is: Less than 0.1 mm. ",Dental,functional implant bone loss seen annually year
A baby presents with tetany. First thing to be done is administration of :,Calcium gluconate,opc,Diazepam,Vitamin D,Calcium gluconate,Calcitonin,"A baby presents with tetany. First thing to be done is administration of : Calcium gluconate. Here is an additional explanation: The baby presenting with tetany is hypocalcemic, so must be treated immediately with calcium gluconate I.V. Treatment of hypocalcemia.
Acute or Severe Tetany
The objective of the treatment is to correct hypocalcemia immediately with calcium gluconate I.V
Maintenance management of hypoparathyroidism and chronic hypocakenzia.
The objective is to maintain serum calcium and serum phosphase at approximately normal levels. It usually requires.

1. Diet  ---> Calcium supplements and diet rich in calcium.
2. Vitamin D supplementation  ---> Ergocakiferol or dihydrotachysterol.",Pediatrics,baby presents tetany First thing done administration
Maximum level of alpha fetoprotein is seen in:,Fetal serum,opa,Fetal serum,Placenta,Amniotic fluid,Maternal serum,"Maximum level of alpha fetoprotein is seen in: Fetal serum. Here is an additional explanation: Alpha fetoprotein is the most abundant protein in the fetal serum throughout fetal development.
It is transferred from fetus to amniotic fluid when fetus passes urine.
The concentration of AFP in amniotic fluid is approximately 100 folds less than in fetal serum, peaks at 13-14 weeks and then decreases in the second trimester (by 10% per week).
AFP reaches the maternal serum by diffusion across the amniotic membranes and via the placenta.
The level of AFP in maternal serum is less than fetal serum as is suggested by:

“Fetal serum contains AFP in a concentration 150 times that of maternal serum”.
COGDT 10/e, p 185
“Ordinarily high level of fetoprotein are found in developing fetus and low levels exist in maternal serum and amniotic fluid”.
Mannual of Laboratory and Diagnostic Test Fishback 7/e, p 995",Gynaecology & Obstetrics,Maximum level alpha fetoprotein seen
Anthracis causes which pulmonary manifestations-,Hemorrhagic mediastinitis,opb,Atypical pneumonia,Hemorrhagic mediastinitis,Lung abscess,Bronchopulmonary pneumonia,"Anthracis causes which pulmonary manifestations- Hemorrhagic mediastinitis. Here is an additional explanation: Answer- B. Hemorrhagic mediastinitisA low-grade fever and a nonproductive cough. Substernal discomfo early in the illness. Inhalational anthrax progresses rapidly, causing hemorrhagic mediastinitisHigh feverSevere shoness of breathTachypneaCyanosisProfuse diaphoresisHematemesis",Medicine,Anthracis causes pulmonary
Which of the following vaccine is not included in EPI schedule,MMR,opb,DPT,MMR,BCG,OPV,Which of the following vaccine is not included in EPI schedule MMR. ,Dental,following vaccine included EPI schedule
Vasopressin antagonist acts on which pa of the nephron?,Medullary collecting duct,opd,Proximal convoluted tubule,Distal convoluted tubule,Coical collecting tubule,Medullary collecting duct,Vasopressin antagonist acts on which pa of the nephron? Medullary collecting duct. Here is an additional explanation: Answer- D (Medullary collecting duct)'The mechanism by which vasopressin exes its anti-diuretic effect is activated by V2 receptors and involves the inseion of aquaporin-2 into the apical (luminal) membranes at the principle cells of the collecting duct.',Pharmacology,Vasopressin antagonist acts pa nephron
Which of the following anti-tubercular drug can cause ophthalmological toxicity?,Ethambutol,opc,Isoniazid,Rifampicin,Ethambutol,Pyrazinamide,"Which of the following anti-tubercular drug can cause ophthalmological toxicity? Ethambutol. Here is an additional explanation: Ethambutol side effect: causes Red Green color blindness (Ophthalmological toxicity) Isoniazid side effects: Neurotoxicity, Hepatotoxicity. Pyrazinamide side effects: Hyperuricemia (gouty ahritis). Rifampicin side effects: Hepatotoxicity, orange red urine and tears etc.",Pharmacology,following drug cause ophthalmological toxicity
